delta,lam,ell,a,m_det,class,margin
10,19|9|7|3|1|1,6,397,123379,silent,122982
10,19|9|7|2|2|1,6,367,103933,silent,103566
10,19|9|6|4|1|1,6,489,172927,silent,172438
10,19|9|6|3|2|1,6,758,304942,silent,304184
10,19|9|6|2|2|2,6,290,99280,silent,98990
10,19|9|5|5|1|1,6,224,87389,silent,87165
10,19|9|5|4|2|1,6,743,324271,silent,323528
10,19|9|5|3|3|1,6,355,229318,silent,228963
10,19|9|5|3|2|2,6,415,234136,silent,233721
10,19|9|4|4|3|1,6,309,165286,silent,164977
10,19|9|4|4|2|2,6,279,142595,silent,142316
10,19|9|4|3|3|2,6,142,155195,silent,155053
10,19|9|3|3|3|3,6,3,23912,silent,23909
10,19|8|8|3|1|1,6,149,51254,silent,51105
10,19|8|8|2|2|1,6,155,43786,silent,43631
10,19|8|7|4|1|1,6,353,133076,silent,132723
10,19|8|7|3|2|1,6,519,226372,silent,225853
10,19|8|7|2|2|2,6,184,72151,silent,71967
10,19|8|6|5|1|1,6,294,131815,silent,131521
10,19|8|6|4|2|1,6,801,388818,silent,388017
10,19|8|6|3|3|1,6,354,255515,silent,255161
10,19|8|6|3|2|2,6,430,259197,silent,258767
10,19|8|5|5|2|1,6,354,208548,silent,208194
10,19|8|5|4|3|1,6,535,364386,silent,363851
10,19|8|5|4|2|2,6,442,300972,silent,300530
10,19|8|5|3|3|2,6,218,267069,silent,266851
10,19|8|4|4|4|1,6,165,86273,silent,86108
10,19|8|4|4|3|2,6,232,205637,silent,205405
10,19|8|4|3|3|3,6,20,79796,silent,79776
10,19|7|7|5|1|1,6,150,65797,silent,65647
10,19|7|7|4|2|1,6,329,178420,silent,178091
10,19|7|7|3|3|1,6,164,115464,silent,115300
10,19|7|7|3|2|2,6,156,114407,silent,114251
10,19|7|6|6|1|1,6,84,42538,silent,42454
10,19|7|6|5|2|1,6,383,237232,silent,236849
10,19|7|6|4|3|1,6,444,331492,silent,331048
10,19|7|6|4|2|2,6,368,270669,silent,270301
10,19|7|6|3|3|2,6,179,224739,silent,224560
10,19|7|5|5|3|1,6,229,208456,silent,208227
10,19|7|5|5|2|2,6,153,158156,silent,158003
10,19|7|5|4|4|1,6,221,166129,silent,165908
10,19|7|5|4|3|2,6,317,366671,silent,366354
10,19|7|5|3|3|3,6,41,114394,silent,114353
10,19|7|4|4|4|2,6,128,100052,silent,99924
10,19|7|4|4|3|3,6,54,96741,silent,96687
10,19|6|6|6|2|1,6,74,44991,silent,44917
10,19|6|6|5|3|1,6,143,135895,silent,135752
10,19|6|6|5|2|2,6,126,104275,silent,104149
10,19|6|6|4|4|1,6,125,90865,silent,90740
10,19|6|6|4|3|2,6,167,194206,silent,194039
10,19|6|6|3|3|3,6,10,55662,silent,55652
10,19|6|5|5|4|1,6,73,88447,silent,88374
10,19|6|5|5|3|2,6,92,154652,silent,154560
10,19|6|5|4|4|2,6,126,139425,silent,139299
10,19|6|5|4|3|3,6,59,128433,silent,128374
10,19|6|4|4|4|3,6,49,48881,silent,48832
10,19|5|5|5|5|1,6,6,10400,silent,10394
10,19|5|5|5|4|2,6,15,40950,silent,40935
10,19|5|5|5|3|3,6,17,31998,silent,31981
10,19|5|5|4|4|3,6,21,37658,silent,37637
10,19|5|4|4|4|4,6,12,8088,silent,8076
10,18|18|1|1|1|1,6,0,-1,a0,
10,18|17|2|1|1|1,6,0,-1,a0,
10,18|16|3|1|1|1,6,3,539,silent,536
10,18|16|2|2|1|1,6,2,400,silent,398
10,18|15|4|1|1|1,6,9,1885,silent,1876
10,18|15|3|2|1|1,6,24,3180,silent,3156
10,18|15|2|2|2|1,6,19,1233,silent,1214
10,18|14|5|1|1|1,6,27,4960,silent,4933
10,18|14|4|2|1|1,6,74,11791,silent,11717
10,18|14|3|3|1|1,6,44,7508,silent,7464
10,18|14|3|2|2|1,6,73,8768,silent,8695
10,18|14|2|2|2|2,6,31,1862,silent,1831
10,18|13|6|1|1|1,6,46,9558,silent,9512
